,code,country,medal,quantity
0,USA,United States of America,gold,39
1,CHN,People's Republic of China,gold,38
2,JPN,Japan,gold,27
3,GBR,Great Britain,gold,22
4,ROC,ROC,gold,20
5,AUS,Australia,gold,17
6,NED,Netherlands,gold,10
7,FRA,France,gold,10
8,GER,Germany,gold,10
9,ITA,Italy,gold,10
10,CAN,Canada,gold,7
11,BRA,Brazil,gold,7
12,NZL,New Zealand,gold,7
13,Cuba,Cuba,gold,7
14,HUN,Hungary,gold,6
15,KOR,Republic of Korea,gold,6
16,POL,Poland,gold,4
17,Czech Republic,Czech Republic,gold,4
18,Kenya,Kenya,gold,4
19,Norway,Norway,gold,4
20,Jamaica,Jamaica,gold,4
21,ESP,Spain,gold,3
22,SWE,Sweden,gold,3
23,SUI,Switzerland,gold,3
24,Denmark,Denmark,gold,3
25,CRO,Croatia,gold,3
26,Islamic Republic of Iran,Islamic Republic of Iran,gold,3
27,SRB,Serbia,gold,3
28,BEL,Belgium,gold,3
29,Bulgaria,Bulgaria,gold,3
30,SLO,Slovenia,gold,3
31,UZB,Uzbekistan,gold,3
32,GEO,Georgia,gold,2
33,Chinese Taipei,Chinese Taipei,gold,2
34,Turkey,Turkey,gold,2
35,GRE,Greece,gold,2
36,Uganda,Uganda,gold,2
37,Ecuador,Ecuador,gold,2
38,IRL,Ireland,gold,2
39,Israel,Israel,gold,2
40,Qatar,Qatar,gold,2
41,Bahamas,Bahamas,gold,2
42,KOS,Kosovo,gold,2
43,UKR,Ukraine,gold,1
44,Belarus,Belarus,gold,1
45,ROU,Romania,gold,1
46,Venezuela,Venezuela,gold,1
47,IND,India,gold,1
48,HKG,"Hong Kong, China",gold,1
49,Philippines,Philippines,gold,1
50,SVK,Slovakia,gold,1
51,RSA,South Africa,gold,1
52,AUT,Austria,gold,1
53,EGY,Egypt,gold,1
54,Indonesia,Indonesia,gold,1
55,Ethiopia,Ethiopia,gold,1
56,Portugal,Portugal,gold,1
57,TUN,Tunisia,gold,1
58,Estonia,Estonia,gold,1
59,FIJ,Fiji,gold,1
60,Latvia,Latvia,gold,1
61,Thailand,Thailand,gold,1
62,Bermuda,Bermuda,gold,1
63,Morocco,Morocco,gold,1
64,Puerto Rico,Puerto Rico,gold,1
65,Colombia,Colombia,gold,0
66,AZE,Azerbaijan,gold,0
67,Dominican Republic,Dominican Republic,gold,0
68,Armenia,Armenia,gold,0
69,Kyrgyzstan,Kyrgyzstan,gold,0
70,MGL,Mongolia,gold,0
71,ARG,Argentina,gold,0
72,San Marino,San Marino,gold,0
73,Jordan,Jordan,gold,0
74,Malaysia,Malaysia,gold,0
75,Nigeria,Nigeria,gold,0
76,Bahrain,Bahrain,gold,0
77,Saudi Arabia,Saudi Arabia,gold,0
78,Lithuania,Lithuania,gold,0
79,North Macedonia,North Macedonia,gold,0
80,Namibia,Namibia,gold,0
81,Turkmenistan,Turkmenistan,gold,0
82,KAZ,Kazakhstan,gold,0
83,MEX,Mexico,gold,0
84,Finland,Finland,gold,0
85,Botswana,Botswana,gold,0
86,Burkina Faso,Burkina Faso,gold,0
87,Côte d'Ivoire,Côte d'Ivoire,gold,0
88,Ghana,Ghana,gold,0
89,Grenada,Grenada,gold,0
90,Kuwait,Kuwait,gold,0
91,MDA,Republic of Moldova,gold,0
92,Syrian Arab Republic,Syrian Arab Republic,gold,0
93,USA,United States of America,silver,41
94,CHN,People's Republic of China,silver,32
95,JPN,Japan,silver,14
96,GBR,Great Britain,silver,21
97,ROC,ROC,silver,28
98,AUS,Australia,silver,7
99,NED,Netherlands,silver,12
100,FRA,France,silver,12
101,GER,Germany,silver,11
102,ITA,Italy,silver,10
103,CAN,Canada,silver,6
104,BRA,Brazil,silver,6
105,NZL,New Zealand,silver,6
106,Cuba,Cuba,silver,3
107,HUN,Hungary,silver,7
108,KOR,Republic of Korea,silver,4
109,POL,Poland,silver,5
110,Czech Republic,Czech Republic,silver,4
111,Kenya,Kenya,silver,4
112,Norway,Norway,silver,2
113,Jamaica,Jamaica,silver,1
114,ESP,Spain,silver,8
115,SWE,Sweden,silver,6
116,SUI,Switzerland,silver,4
117,Denmark,Denmark,silver,4
118,CRO,Croatia,silver,3
119,Islamic Republic of Iran,Islamic Republic of Iran,silver,2
120,SRB,Serbia,silver,1
121,BEL,Belgium,silver,1
122,Bulgaria,Bulgaria,silver,1
123,SLO,Slovenia,silver,1
124,UZB,Uzbekistan,silver,0
125,GEO,Georgia,silver,5
126,Chinese Taipei,Chinese Taipei,silver,4
127,Turkey,Turkey,silver,2
128,GRE,Greece,silver,1
129,Uganda,Uganda,silver,1
130,Ecuador,Ecuador,silver,1
131,IRL,Ireland,silver,0
132,Israel,Israel,silver,0
133,Qatar,Qatar,silver,0
134,Bahamas,Bahamas,silver,0
135,KOS,Kosovo,silver,0
136,UKR,Ukraine,silver,6
137,Belarus,Belarus,silver,3
138,ROU,Romania,silver,3
139,Venezuela,Venezuela,silver,3
140,IND,India,silver,2
141,HKG,"Hong Kong, China",silver,2
142,Philippines,Philippines,silver,2
143,SVK,Slovakia,silver,2
144,RSA,South Africa,silver,2
145,AUT,Austria,silver,1
146,EGY,Egypt,silver,1
147,Indonesia,Indonesia,silver,1
148,Ethiopia,Ethiopia,silver,1
149,Portugal,Portugal,silver,1
150,TUN,Tunisia,silver,1
151,Estonia,Estonia,silver,0
152,FIJ,Fiji,silver,0
153,Latvia,Latvia,silver,0
154,Thailand,Thailand,silver,0
155,Bermuda,Bermuda,silver,0
156,Morocco,Morocco,silver,0
157,Puerto Rico,Puerto Rico,silver,0
158,Colombia,Colombia,silver,4
159,AZE,Azerbaijan,silver,3
160,Dominican Republic,Dominican Republic,silver,3
161,Armenia,Armenia,silver,2
162,Kyrgyzstan,Kyrgyzstan,silver,2
163,MGL,Mongolia,silver,1
164,ARG,Argentina,silver,1
165,San Marino,San Marino,silver,1
166,Jordan,Jordan,silver,1
167,Malaysia,Malaysia,silver,1
168,Nigeria,Nigeria,silver,1
169,Bahrain,Bahrain,silver,1
170,Saudi Arabia,Saudi Arabia,silver,1
171,Lithuania,Lithuania,silver,1
172,North Macedonia,North Macedonia,silver,1
173,Namibia,Namibia,silver,1
174,Turkmenistan,Turkmenistan,silver,1
175,KAZ,Kazakhstan,silver,0
176,MEX,Mexico,silver,0
177,Finland,Finland,silver,0
178,Botswana,Botswana,silver,0
179,Burkina Faso,Burkina Faso,silver,0
180,Côte d'Ivoire,Côte d'Ivoire,silver,0
181,Ghana,Ghana,silver,0
182,Grenada,Grenada,silver,0
183,Kuwait,Kuwait,silver,0
184,MDA,Republic of Moldova,silver,0
185,Syrian Arab Republic,Syrian Arab Republic,silver,0
186,USA,United States of America,bronze,33
187,CHN,People's Republic of China,bronze,18
188,JPN,Japan,bronze,17
189,GBR,Great Britain,bronze,22
190,ROC,ROC,bronze,23
191,AUS,Australia,bronze,22
192,NED,Netherlands,bronze,14
193,FRA,France,bronze,11
194,GER,Germany,bronze,16
195,ITA,Italy,bronze,20
196,CAN,Canada,bronze,11
197,BRA,Brazil,bronze,8
198,NZL,New Zealand,bronze,7
199,Cuba,Cuba,bronze,5
200,HUN,Hungary,bronze,7
201,KOR,Republic of Korea,bronze,10
202,POL,Poland,bronze,5
203,Czech Republic,Czech Republic,bronze,3
204,Kenya,Kenya,bronze,2
205,Norway,Norway,bronze,2
206,Jamaica,Jamaica,bronze,4
207,ESP,Spain,bronze,6
208,SWE,Sweden,bronze,0
209,SUI,Switzerland,bronze,6
210,Denmark,Denmark,bronze,4
211,CRO,Croatia,bronze,2
212,Islamic Republic of Iran,Islamic Republic of Iran,bronze,2
213,SRB,Serbia,bronze,5
214,BEL,Belgium,bronze,3
215,Bulgaria,Bulgaria,bronze,2
216,SLO,Slovenia,bronze,1
217,UZB,Uzbekistan,bronze,2
218,GEO,Georgia,bronze,1
219,Chinese Taipei,Chinese Taipei,bronze,6
220,Turkey,Turkey,bronze,9
221,GRE,Greece,bronze,1
222,Uganda,Uganda,bronze,1
223,Ecuador,Ecuador,bronze,0
224,IRL,Ireland,bronze,2
225,Israel,Israel,bronze,2
226,Qatar,Qatar,bronze,1
227,Bahamas,Bahamas,bronze,0
228,KOS,Kosovo,bronze,0
229,UKR,Ukraine,bronze,12
230,Belarus,Belarus,bronze,3
231,ROU,Romania,bronze,0
232,Venezuela,Venezuela,bronze,0
233,IND,India,bronze,4
234,HKG,"Hong Kong, China",bronze,3
235,Philippines,Philippines,bronze,1
236,SVK,Slovakia,bronze,1
237,RSA,South Africa,bronze,0
238,AUT,Austria,bronze,5
239,EGY,Egypt,bronze,4
240,Indonesia,Indonesia,bronze,3
241,Ethiopia,Ethiopia,bronze,2
242,Portugal,Portugal,bronze,2
243,TUN,Tunisia,bronze,0
244,Estonia,Estonia,bronze,1
245,FIJ,Fiji,bronze,1
246,Latvia,Latvia,bronze,1
247,Thailand,Thailand,bronze,1
248,Bermuda,Bermuda,bronze,0
249,Morocco,Morocco,bronze,0
250,Puerto Rico,Puerto Rico,bronze,0
251,Colombia,Colombia,bronze,1
252,AZE,Azerbaijan,bronze,4
253,Dominican Republic,Dominican Republic,bronze,2
254,Armenia,Armenia,bronze,2
255,Kyrgyzstan,Kyrgyzstan,bronze,1
256,MGL,Mongolia,bronze,3
257,ARG,Argentina,bronze,2
258,San Marino,San Marino,bronze,2
259,Jordan,Jordan,bronze,1
260,Malaysia,Malaysia,bronze,1
261,Nigeria,Nigeria,bronze,1
262,Bahrain,Bahrain,bronze,0
263,Saudi Arabia,Saudi Arabia,bronze,0
264,Lithuania,Lithuania,bronze,0
265,North Macedonia,North Macedonia,bronze,0
266,Namibia,Namibia,bronze,0
267,Turkmenistan,Turkmenistan,bronze,0
268,KAZ,Kazakhstan,bronze,8
269,MEX,Mexico,bronze,4
270,Finland,Finland,bronze,2
271,Botswana,Botswana,bronze,1
272,Burkina Faso,Burkina Faso,bronze,1
273,Côte d'Ivoire,Côte d'Ivoire,bronze,1
274,Ghana,Ghana,bronze,1
275,Grenada,Grenada,bronze,1
276,Kuwait,Kuwait,bronze,1
277,MDA,Republic of Moldova,bronze,1
278,Syrian Arab Republic,Syrian Arab Republic,bronze,1
